dorme_bem,participa_das_aulas,faz_todas_as_avaliacoes,estuda,tira_duvidas,pesquisa,classe,y_otimo,y_bom,y_medio,y_regular,y_insuficiente
0.9,0.8,0.8,0.8,0.8,0.7,bom,0,1,0,0,0
0.6,0.7,0.7,0.6,0.6,0.5,medio,0,0,1,0,0
0.3,0.5,0.6,0.4,0.4,0.4,regular,0,0,0,1,0
0.2,0.2,0.4,0.3,0.3,0.2,insuficiente,0,0,0,0,1
0.1,0.2,0.3,0.2,0.2,0.1,insuficiente,0,0,0,0,1
0.1,0.2,0.2,0.2,0.2,0.1,insuficiente,0,0,0,0,1
0.3,0.3,0.4,0.3,0.3,0.2,regular,0,0,0,1,0
0.7,0.6,0.6,0.4,0.5,0.3,medio,0,0,1,0,0
0.8,0.7,0.7,0.6,0.6,0.4,medio,0,0,1,0,0
0.9,0.8,0.7,0.7,0.7,0.5,bom,0,1,0,0,0
0.9,0.8,0.7,0.7,0.7,0.5,bom,0,1,0,0,0
0.7,0.6,0.7,0.6,0.6,0.5,medio,0,0,1,0,0
0.4,0.5,0.6,0.5,0.4,0.4,medio,0,0,1,0,0
0.1,0.4,0.5,0.4,0.3,0.4,regular,0,0,0,1,0
0.1,0.2,0.4,0.3,0.2,0.3,insuficiente,0,0,0,0,1
0.1,0.4,0.4,0.4,0.4,0.4,regular,0,0,0,1,0
0.2,0.4,0.6,0.5,0.4,0.4,regular,0,0,0,1,0
0.5,0.6,0.8,0.7,0.6,0.6,medio,0,0,1,0,0
0.8,0.9,0.8,0.7,0.8,0.6,bom,0,1,0,0,0
0.9,0.8,0.8,0.8,0.7,0.7,bom,0,1,0,0,0
0.9,0.9,0.7,0.7,0.7,0.6,bom,0,1,0,0,0
0.8,0.7,0.7,0.6,0.6,0.5,bom,0,1,0,0,0
0.6,0.4,0.5,0.4,0.4,0.3,regular,0,0,0,1,0
0.2,0.3,0.3,0.3,0.3,0.2,insuficiente,0,0,0,0,1
0.8,0.9,0.9,0.9,0.8,0.8,otimo,1,0,0,0,0
0.6,0.7,0.8,0.6,0.6,0.6,bom,0,1,0,0,0
0.4,0.4,0.6,0.6,0.5,0.5,medio,0,0,1,0,0
0.1,0.4,0.4,0.3,0.3,0.3,regular,0,0,0,1,0
0.2,0.3,0.5,0.3,0.3,0.2,regular,0,0,0,1,0
0.4,0.5,0.5,0.5,0.5,0.4,medio,0,0,1,0,0
0.6,0.6,0.6,0.5,0.5,0.4,medio,0,0,1,0,0
0.8,0.7,0.6,0.7,0.6,0.5,bom,0,1,0,0,0
1.0,0.8,0.7,0.6,0.7,0.4,bom,0,1,0,0,0
0.0,0.2,0.4,0.4,0.2,0.3,insuficiente,0,0,0,0,1
0.0,0.3,0.3,0.3,0.3,0.2,insuficiente,0,0,0,0,1
0.8,0.9,1.0,0.9,0.8,0.8,otimo,1,0,0,0,0
1.0,1.0,0.9,0.9,0.9,0.8,otimo,1,0,0,0,0
0.0,0.2,0.5,0.3,0.2,0.2,insuficiente,0,0,0,0,1
0.9,0.7,0.7,0.6,0.6,0.5,bom,0,1,0,0,0
0.6,0.6,0.6,0.4,0.4,0.3,medio,0,0,1,0,0
0.4,0.4,0.4,0.4,0.4,0.3,regular,0,0,0,1,0
0.2,0.2,0.3,0.2,0.2,0.1,insuficiente,0,0,0,0,1
0.3,0.4,0.6,0.5,0.4,0.4,regular,0,0,0,1,0
0.6,0.7,0.7,0.6,0.6,0.5,medio,0,0,1,0,0
0.8,0.7,0.6,0.6,0.6,0.4,medio,0,0,1,0,0
0.9,0.7,0.7,0.6,0.6,0.5,bom,0,1,0,0,0
0.9,0.8,0.8,0.7,0.7,0.6,bom,0,1,0,0,0
0.8,0.8,0.7,0.6,0.7,0.5,bom,0,1,0,0,0
0.6,0.5,0.6,0.6,0.5,0.5,medio,0,0,1,0,0
0.2,0.5,0.5,0.4,0.4,0.4,regular,0,0,0,1,0
0.1,0.3,0.5,0.4,0.3,0.4,regular,0,0,0,1,0
0.8,0.8,0.8,0.9,0.8,0.8,otimo,1,0,0,0,0
0.9,1.0,1.0,0.8,0.8,0.7,otimo,1,0,0,0,0
1.0,0.9,1.0,0.9,0.9,0.8,otimo,1,0,0,0,0
0.8,0.7,0.8,0.7,0.7,0.6,bom,0,1,0,0,0
0.4,0.6,0.6,0.6,0.5,0.5,medio,0,0,1,0,0
0.2,0.3,0.4,0.3,0.3,0.2,insuficiente,0,0,0,0,1
0.1,0.1,0.3,0.2,0.2,0.1,insuficiente,0,0,0,0,1
0.1,0.2,0.3,0.1,0.1,0.0,insuficiente,0,0,0,0,1
0.2,0.2,0.3,0.3,0.2,0.2,insuficiente,0,0,0,0,1
0.5,0.4,0.4,0.3,0.3,0.2,regular,0,0,0,1,0
